2026-03-16 14:30:10 | ERROR    | investment_agent | [AkShare] 获取失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-16 14:30:10 | ERROR    | investment_agent | ❌ 获取外部数据失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-16 14:30:32 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，正在调用 AkShare 获取 000001...
2026-03-16 14:30:32 | INFO     | investment_agent | [AkShare] 正在获取 000001 历史数据...
2026-03-16 14:30:33 | ERROR    | investment_agent | [AkShare] 获取失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-16 14:30:33 | ERROR    | investment_agent | ❌ 获取外部数据失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-16 21:18:50 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，正在调用 AkShare 获取 000001...
2026-03-16 21:18:50 | INFO     | investment_agent | [AkShare] 正在获取 000001 历史数据...
2026-03-16 21:18:51 | INFO     | investment_agent | [AkShare] 成功获取 2 条记录。
2026-03-16 21:18:51 | INFO     | investment_agent | 💾 [DB] 成功保存 2 条新记录到 stock_daily 表 (000001)
2026-03-16 21:18:51 | INFO     | investment_agent | 💾 [Saved] 已将 2 条新数据存入数据库。
2026-03-16 21:18:51 | DEBUG    | investment_agent | 📖 [DB] 从数据库读取 2 条记录 (000001)
2026-03-16 21:18:51 | INFO     | investment_agent | ⚡ [Cache Hit] 从本地数据库获取 000001 (20231001-20231010)
2026-03-16 21:35:15 | DEBUG    | investment_agent | 📖 [DB] 从数据库读取 2 条记录 (000001)
2026-03-16 21:35:15 | INFO     | investment_agent | ⚡ [Cache Hit] 从本地数据库获取 000001 (20231001-20231010)
2026-03-16 21:35:15 | DEBUG    | investment_agent | 📖 [DB] 从数据库读取 2 条记录 (000001)
2026-03-16 21:35:15 | INFO     | investment_agent | ⚡ [Cache Hit] 从本地数据库获取 000001 (20231001-20231010)
2026-03-17 10:34:49 | INFO     | investment_agent | 请求数据：000001 (stock)
2026-03-17 10:34:49 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，调用 iFinD 获取 000001...
2026-03-17 10:34:49 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 10:34:53 | ERROR    | investment_agent | ❌ iFinD 登录失败，请检查账号密码或终端是否开启。
2026-03-17 10:34:53 | ERROR    | investment_agent | ❌ 获取外部数据失败：无法连接到 iFinD。请检查网络、账号配置或同花顺终端状态。
2026-03-17 10:34:53 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理资源...
2026-03-17 10:34:53 | DEBUG    | investment_agent | ℹ️ iFinD 当前未连接，跳过登出操作。
2026-03-17 10:37:46 | INFO     | investment_agent | 请求数据：000001 (stock)
2026-03-17 10:38:00 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，调用 iFinD 获取 000001...
2026-03-17 10:38:21 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 10:38:26 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理资源...
2026-03-17 10:38:26 | DEBUG    | investment_agent | ℹ️ iFinD 当前未连接，跳过登出操作。
2026-03-17 10:45:32 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 10:45:32 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 10:45:37 | ERROR    | investment_agent | ❌ iFinD 登录失败，请检查账号密码或终端是否开启。
2026-03-17 10:45:37 | ERROR    | investment_agent | ❌ MarketDataService 启动失败：iFinD 初始化连接失败。请检查：1. 账号密码是否正确; 2. 同花顺终端是否已打开并登录。
2026-03-17 10:45:37 | CRITICAL | investment_agent | 无法创建 market_data_service 实例，程序将无法获取数据。
2026-03-17 10:45:37 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理 iFinD 资源...
2026-03-17 10:45:37 | DEBUG    | investment_agent | ℹ️ iFinD 当前未连接，跳过登出操作。
2026-03-17 10:50:35 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 10:50:35 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 10:50:41 | ERROR    | investment_agent | ❌ iFinD 登录失败，请检查账号密码或终端是否开启。
2026-03-17 10:50:41 | ERROR    | investment_agent | ❌ MarketDataService 启动失败：iFinD 初始化连接失败。请检查：1. 账号密码是否正确; 2. 同花顺终端是否已打开并登录。
2026-03-17 10:50:41 | CRITICAL | investment_agent | 无法创建 market_data_service 实例，程序将无法获取数据。
2026-03-17 10:50:41 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理 iFinD 资源...
2026-03-17 10:50:41 | DEBUG    | investment_agent | ℹ️ iFinD 当前未连接，跳过登出操作。
2026-03-17 10:52:56 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 10:52:56 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 10:55:49 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 10:55:49 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 10:55:53 | INFO     | investment_agent | ✅ iFinD 连接成功 (会话保持中)。
